Weight	Nested	Procedure	stimulussentence	sentID	Condition	label	CriticalWord	repCorr
1		trialprocedure	Kanske klättrade pojken ner från trädet.	863	2	224	3	
1		trialprocedure	Idag efter rasten hon ramlade.	864	1	141	4	
1		trialprocedure	Kanske målade flickan en bild på hunden.	865	2	224	3	
1		trialprocedure	Hemma i Lund hon talade med Erik.	866	1	131	4	
1		trialprocedure	Kanske flickan badade.	867	1	124	2	
1		trialprocedure	Idag hon kröp upp i soffan till Anna.	868	1	142	2	
1		trialprocedure	Idag hoppade pojken på studsmattan hela kvällen.	869	2	244	3	
1		trialprocedure	Hemma i Sverige pojken svarade på frågan.	870	1	133	4	
1		trialprocedure	Hemma tvättade flickan filten.	871	2	234	3	
1		trialprocedure	Idag hoppade han på studsmattan hela kvällen.	872	2	242	3	
1		trialprocedure	Kanske arbetade flickan.	873	2	224	3	
1		trialprocedure	Hemma i Sverige pojken väntade på att Anna skulle komma.	874	1	133	4	
1		trialprocedure	Hemma pratade flickan med Eva och Maria.	875	2	234	3	
1		trialprocedure	Idag joggade hon hela vägen hem.	876	2	242	3	
1		trialprocedure	Naturligtvis flickan tittade på matchen.	877	1	114	2	
1		trialprocedure	Idag på eftermiddagen han handlade alla de nybakade kakorna.	878	1	141	4	
1		trialprocedure	Idag målade pojken en bild av en sjö.	879	2	244	3	
1		trialprocedure	Naturligtvis han låg nedanför trädet och läste tidningen.	880	1	112	2	
1		trialprocedure	Idag vilade flickan.	881	2	244	3	
1		trialprocedure	Hemma hos Eva pratade hon med Eva och Maria.	882	2	231	5	
1		trialprocedure	Idag letade hon efter bollen nere vid sjön.	883	2	242	3	
1		trialprocedure	Idag hon sparade pengarna till kakorna.	884	1	142	2	
1		trialprocedure	Hemma hos Anna grät flickan.	885	2	233	5	
1		trialprocedure	Kanske hon tvättade kläderna.	886	1	122	2	
1		trialprocedure	Hemma han vaknade.	887	1	132	2	
1		trialprocedure	Naturligtvis flickan svarade Erik.	888	1	114	2	
1		trialprocedure	Hemma i Lund vilade flickan länge.	889	2	233	5	
1		trialprocedure	Naturligtvis åt hon Annas kakor.	890	2	212	3	
1		trialprocedure	Hemma i Malmö tystnade han för att lyssna på fåglarna.	891	2	231	5	
1		trialprocedure	Naturligtvis pojken ramlade ner från trädet.	892	1	114	2	
1		trialprocedure	Hemma låg flickan på soffan och tänkte.	893	2	234	3	
1		trialprocedure	Hemma hon läste en bok för Sara.	894	1	132	2	
1		trialprocedure	Hemma hos Eric hon betalade för bollen.	895	1	131	4	
1		trialprocedure	Idag hon skrev i sin dagbok.	896	1	142	2	
1		trialprocedure	Hemma i Malmö tystnade pojken för att lyssna på fåglarna.	897	2	233	5	
1		trialprocedure	Naturligtvis flickan tystnade för att de var elaka.	898	1	114	2	
1		trialprocedure	Idag städade pojken undan sina kläder.	899	2	244	3	
1		trialprocedure	Hemma han spelade match.	900	1	132	2	
1		trialprocedure	Idag på eftermiddagen lekte hon med Anders och Erik.	901	2	241	5	
1		trialprocedure	Hemma hon ramlade.	902	1	132	2	
1		trialprocedure	Idag pratade flickan med sin fröken.	903	2	244	3	
1		trialprocedure	Idag på rasten flickan tittade på alla de vackra blommorna.	904	1	143	4	
1		trialprocedure	Naturligtvis berättade pojken vad som hade hänt.	905	2	214	3	
1		trialprocedure	Naturligtvis han ringde till Anna sent på kvällen.	906	1	112	2	
1		trialprocedure	Naturligtvis han dansade hela dagen hemma i vardagsrummet.	907	1	112	2	
1		trialprocedure	Hemma i Lund flickan talade med Erik.	908	1	133	4	
1		trialprocedure	Hemma kröp han in under den varma filten.	909	2	232	3	
1		trialprocedure	Naturligtvis flickan hoppade gärna.	910	1	114	2	
1		trialprocedure	Naturligtvis spelade flickan på sitt piano.	911	2	214	3	
1		trialprocedure	Idag efter lunchen städade pojken undan sina kläder.	912	2	243	5	
1		trialprocedure	Hemma han letade efter sin bok.	913	1	132	2	
1		trialprocedure	Idag pojken arbetade.	914	1	144	2	
1		trialprocedure	Idag efter rasten sparade flickan pengarna till kakorna.	915	2	243	5	
1		trialprocedure	Naturligtvis klättrade pojken upp i trädet snabbt.	916	2	214	3	
1		trialprocedure	Hemma hoppade han högt.	917	2	232	3	
1		trialprocedure	Idag hon vilade.	918	1	142	2	
1		trialprocedure	Hemma hos Eva jobbade pojken gärna.	919	2	233	5	
1		trialprocedure	Hemma i Lund städade flickan hela dagen.	920	2	233	5	
1		trialprocedure	Idag pojken svarade snabbt.	921	1	144	2	
1		trialprocedure	Hemma svarade han på frågan.	922	2	232	3	
1		trialprocedure	Naturligtvis hon tystnade för att de var elaka.	923	1	112	2	
1		trialprocedure	Hemma hos Eric flickan betalade för bollen.	924	1	133	4	
1		trialprocedure	Hemma i Sverige spelade han match.	925	2	231	5	
1		trialprocedure	Hemma han väntade på att Anna skulle komma.	926	1	132	2	
1		trialprocedure	Kanske arbetade hon.	927	2	222	3	
1		trialprocedure	Idag flickan tystnade när hon fick se hunden.	928	1	144	2	
1		trialprocedure	Idag sov han i gräset.	929	2	242	3	
1		trialprocedure	Idag efter rasten berättade hon om sin nya mössa.	930	2	241	5	
1		trialprocedure	Hemma låg hon på soffan och tänkte.	931	2	232	3	
1		trialprocedure	Idag pojken tvättade.	932	1	144	2	
1		trialprocedure	Hemma spelade pojken match.	933	2	234	3	
1		trialprocedure	Idag på morgonen flickan tystnade när hon fick se hunden.	934	1	143	4	
1		trialprocedure	Hemma i Sverige ringde han och alla gick in.	935	2	231	5	
1		trialprocedure	Kanske ringde han till Erik senare på kvällen.	936	2	222	3	
1		trialprocedure	Idag på eftermiddagen flickan joggade hela vägen hem.	937	1	143	4	
1		trialprocedure	Naturligtvis grät han när Sara gick på fest.	938	2	212	3	
1		trialprocedure	Naturligtvis låg pojken nedanför trädet och läste tidningen.	939	2	214	3	
1		trialprocedure	Kanske sov flickan på soffan.	940	2	224	3	
1		trialprocedure	Hemma i Lund flickan arbetade medan Sara lekte.	941	1	133	4	
1		trialprocedure	Naturligtvis han lekte.	942	1	112	2	
1		trialprocedure	Idag på eftermiddagen joggade hon hela vägen hem.	943	2	241	5	
1		trialprocedure	Kanske letade han efter Sara som lekte.	944	2	222	3	
1		trialprocedure	Kanske läste pojken tidningen ifred på sitt rum.	945	2	224	3	
1		trialprocedure	Kanske han pratade med Maria hemma i köket.	946	1	122	2	
1		trialprocedure	Idag efter skolan betalade han.	947	2	241	5	
1		trialprocedure	Idag han smakade mjölken.	948	1	142	2	
1		trialprocedure	Idag pojken sov i gräset.	949	1	144	2	
1		trialprocedure	Naturligtvis sprang hon på gräsmattan tillsammans med Anna.	950	2	212	3	
1		trialprocedure	Hemma i Lund pojken letade efter sin bok.	951	1	133	4	
1		trialprocedure	Idag efter rasten flickan satt.	952	1	143	4	
1		trialprocedure	Idag efter skolan hon låg i soffan och läste.	953	1	141	4	
1		trialprocedure	Hemma klättrade han upp till skåpen.	954	2	232	3	
1		trialprocedure	Hemma pojken kröp in under den varma filten.	955	1	134	2	
1		trialprocedure	Hemma berättade flickan vad hon bakade hos Anna.	956	2	234	3	
1		trialprocedure	Idag på morgonen tystnade hon när hon fick se hunden.	957	2	241	5	
1		trialprocedure	Hemma flickan lekte ensam i köket.	958	1	134	2	
1		trialprocedure	Hemma i Sverige sparkade han boll.	959	2	231	5	
1		trialprocedure	Idag på morgonen sprang han hem till Maria.	960	2	241	5	
